scenario,avg_paid_tickets_per_round,avg_free_tickets_per_round,avg_revenue_per_round,avg_payout_per_round,avg_burn_per_round,avg_treasury_cost_per_round,avg_gross_player_value_per_round,mean_final_carry,std_final_carry,delta_revenue_per_round_vs_baseline,delta_treasury_cost_per_round_vs_baseline,delta_burn_per_round_vs_baseline,delta_paid_tickets_per_round_vs_baseline,incremental_margin_ex_burn_vs_baseline,incremental_margin_including_burn_vs_baseline,p1_cumulative_incremental_margin_ex_burn_vs_baseline,p5_cumulative_incremental_margin_ex_burn_vs_baseline,worst_cumulative_incremental_margin_ex_burn_vs_baseline,prob_negative_unit_margin_ex_burn,safety_label
baseline,10604.78195673077,0.0,22308.723309262805,20783.60018416445,5369.436969544869,4538.461538461538,20783.60018416445,72191.36017756247,15825.480104606682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline
bonus_tickets_light,11031.121658653847,257.0179615384615,23205.809842347007,21500.511462352522,5548.85427616171,4538.461538461538,21500.511462352522,72270.1867986086,16602.73054084922,897.0865330842025,0.0,179.41730661684142,426.33970192307606,897.0865330842025,1076.503839701044,77313.31207824085,81626.12167755184,69373.38343677274,0.0,safe
cashback_5pct,11184.436072115386,0.0,23528.400522483997,21748.95858973965,5613.372412189106,5714.881564585738,22925.378615863847,73271.23013774483,16701.196800077192,1219.6772132211918,1176.4200261241995,243.9354426442378,579.6541153846156,43.25718709699231,287.1926297412301,-10457.762280555096,-6499.190233515867,-19245.15759019251,0.259,risky / parameter-sensitive
loss_rebate_whales_20pct,11056.014783653845,0.0,23258.181941621053,21531.869780728346,5559.328696016519,6020.085804845735,23013.494047112545,73366.28034712354,15950.222268698863,949.458632358248,1481.6242663841967,189.89172647165014,451.23282692307475,-532.1656340259487,-342.2739075542986,-70472.43281753462,-66082.03754399254,-76639.33080135938,1.0,structurally loss-making
jackpot_boost_2k,10925.6918125,0.0,22983.957701504354,22869.204905616232,5904.48384799318,6538.461538461536,22869.204905616232,77867.9705810741,17483.91224027651,675.2343922415494,1999.9999999999982,535.046878448311,320.90985576922867,-1324.7656077584488,-789.7187293101379,-152952.50518237843,-148759.04361643145,-159865.84916643775,1.0,structurally loss-making
loyalty_rebate_2pct,10866.284557692308,0.0,22858.962961412406,21216.113375932342,5479.484899974789,4748.7716841835245,21426.42352165433,72989.92729254832,16363.139407791961,550.2396521496012,210.31014572198637,110.0479304299206,261.5026009615376,339.9295064276148,449.9774368575354,19995.800530515957,24192.23101126946,14972.525752203772,0.0,safe
multiplier_rewards,10841.105221153846,0.0,22805.98149283725,21171.830870734764,5468.888606259758,5505.259296341845,22138.628628615068,73187.24964764362,16071.012138151995,497.25818357444587,966.7977578803066,99.45163671488899,236.32326442307567,-469.5395743058607,-370.0879375909717,-64911.84300502182,-59796.734355462075,-71278.14576225448,1.0,structurally loss-making
