round_index,mean_revenue,mean_payout,mean_burn,mean_treasury_cost,mean_carry,mean_margin_ex_burn,scenario
46,23222.729942058384,21800.747661254023,4644.545988411677,0.0,73028.72193085735,23222.729942058384,bonus_tickets_light
47,23208.32586548581,22491.828563048628,6241.665173097163,8000.0,75503.55406019738,15208.325865485807,bonus_tickets_light
48,23204.02616621898,21588.482992748042,4640.8052332437965,0.0,72478.29200042452,23204.02616621898,bonus_tickets_light
49,23200.94729246689,22226.863617776442,6240.189458493378,8000.0,75212.18621662159,15200.94729246689,bonus_tickets_light
50,23195.265165053806,22673.404657386687,6239.053033010761,8000.0,77494.99369127795,15195.265165053806,bonus_tickets_light
51,23195.324768295424,21952.530322902756,4639.064953659085,0.0,74098.72318301153,23195.324768295424,bonus_tickets_light
52,23207.84141839541,22889.547385514892,6241.568283679082,8000.0,76175.44893221297,15207.84141839541,bonus_tickets_light
53,23201.343867635384,21651.592960536495,4640.268773527077,0.0,73084.93106578478,23201.343867635384,bonus_tickets_light
54,23214.214355471064,22483.270004594277,6242.8428710942135,8000.0,75573.03254556734,15214.214355471066,bonus_tickets_light
55,23193.001222195206,21095.800667410702,4638.6002444390415,0.0,73031.63285591282,23193.001222195206,bonus_tickets_light
56,23197.538420843615,21972.43981649103,6239.507684168723,8000.0,76017.22377609667,15197.538420843613,bonus_tickets_light
57,23215.40876641614,23144.46073269969,6243.081753283228,8000.0,77845.0900565299,15215.408766416138,bonus_tickets_light
58,23214.20920266465,21658.91112836745,4642.84184053293,0.0,74757.54629029417,23214.20920266465,bonus_tickets_light
59,23217.73100076975,22849.517334157426,6243.54620015395,8000.0,76882.21375675254,15217.731000769747,bonus_tickets_light
60,23199.446930794227,21938.873843960344,4639.889386158847,0.0,73502.89745742758,23199.446930794227,bonus_tickets_light
61,23212.463355125845,22471.64132897209,6242.492671025169,8000.0,76001.22681255617,15212.463355125845,bonus_tickets_light
62,23208.088523014616,21518.989452034362,4641.617704602923,0.0,73048.70817893349,23208.088523014616,bonus_tickets_light
63,23179.14438784462,22434.131790236606,6235.828877568923,8000.0,75557.89189897258,15179.144387844619,bonus_tickets_light
64,23227.784604734083,23307.638906330423,6245.556920946817,8000.0,77232.48067642942,15227.784604734079,bonus_tickets_light
65,23208.654565477183,21679.774133979685,4641.730913095437,0.0,74119.63019483148,23208.654565477183,bonus_tickets_light
66,23211.479424829082,22851.307232869156,6242.295884965816,8000.0,76237.50650182558,15211.47942482908,bonus_tickets_light
67,23216.36773899969,21400.23040611924,4643.273547799938,0.0,73410.3702869061,23216.36773899969,bonus_tickets_light
68,23207.809994148683,21924.293744965158,6241.561998829738,8000.0,76452.32453725989,15207.809994148683,bonus_tickets_light
69,23202.542009887336,21769.710827155814,4640.508401977469,0.0,73244.64731801393,23202.542009887336,bonus_tickets_light
70,23220.123831065554,22582.05025377249,6244.024766213111,8000.0,75638.6961290939,15220.123831065555,bonus_tickets_light
71,23195.318386053204,22994.368978127557,6239.063677210641,8000.0,77600.5818598089,15195.318386053204,bonus_tickets_light
72,23199.298082278485,22036.66218439942,4639.8596164556975,0.0,74123.35814123227,23199.298082278485,bonus_tickets_light
73,23217.998658902274,22933.779582950767,6243.599731780455,8000.0,76163.97748540332,15217.998658902272,bonus_tickets_light
